source_file,output_type,output_file,full_y_min_hz,full_y_max_hz,useful_min_frequency_hz,useful_max_frequency_hz,peak_frequency_hz,peak_magnitude,dominant_frequency_hz,low_frequency_dominant,zoomed_version_created,warning,recommendation
260630_0016.wav,dominant frequency over time,results/dominant_over_time_svg/260630_0016_dominant_over_time.svg,0.0,2000.0,0.0,287.109375,41.015625,32.0007827528333,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection."
260630_0016.wav,average spectrum,results/spectra/260630_0016_fft_spectrum.svg,0.0,2000.0,0.0,287.109375,41.015625,32.0007827528333,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection."
260630_0016.wav,relevant average spectrum,results/spectra_relevant/260630_0016_fft_spectrum_relevant.svg,0.0,400.0,0.0,287.109375,41.015625,32.0007827528333,41.015625,True,False,dominant frequency below min recommended frequency; low frequency may be rumble/artifact,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected."
260630_0016.wav,frequency time spectrogram,results/frequency_time/260630_0016_frequency_time.svg,0.0,2000.0,0.0,287.109375,41.015625,32.0007827528333,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection."
260630_0016.wav,relevant frequency time spectrogram,results/frequency_time_relevant/260630_0016_frequency_time_relevant.svg,0.0,400.0,0.0,287.109375,41.015625,32.0007827528333,41.015625,True,False,dominant frequency below min recommended frequency; low frequency may be rumble/artifact,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected."
260630_0016.wav,filtered full dominant-only spectrum,results/filtered_full/spectra/260630_0016_full_dominant_only_spectrum.svg,0.0,2000.0,0.0,100.0,41.015625,31.511893085427722,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy; filtered dominant-only file should show a narrow horizontal band,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection. Sparse spectrogram is expected for dominant-only filtered audio."
260630_0016.wav,filtered full dominant-only frequency time spectrogram,results/filtered_full/frequency_time/260630_0016_full_dominant_only_frequency_time.svg,0.0,2000.0,0.0,100.0,41.015625,31.511893085427722,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy; filtered dominant-only file should show a narrow horizontal band,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection. Sparse spectrogram is expected for dominant-only filtered audio."
260630_0016.wav,filtered relevant dominant-only spectrum,results/filtered_relevant/spectra/260630_0016_relevant_dominant_only_spectrum.svg,0.0,400.0,0.0,100.0,41.015625,31.511893085427722,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy; filtered dominant-only file should show a narrow horizontal band,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection. Sparse spectrogram is expected for dominant-only filtered audio."
260630_0016.wav,filtered relevant dominant-only frequency time spectrogram,results/filtered_relevant/frequency_time/260630_0016_relevant_dominant_only_frequency_time.svg,0.0,400.0,0.0,100.0,41.015625,31.511893085427722,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy; filtered dominant-only file should show a narrow horizontal band,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection. Sparse spectrogram is expected for dominant-only filtered audio."
260630_0017.wav,dominant frequency over time,results/dominant_over_time_svg/260630_0017_dominant_over_time.svg,0.0,2000.0,0.0,142.1875,41.015625,48.37436478949272,41.015625,True,True,dominant frequency below min recommended frequency; low frequency may be rumble/artifact; plot y-axis too wide for visible energy,"Inspect zoomed low-frequency plots and consider whether vibration, wind, or handling noise is expected. Use the zoomed plot for visual inspection."
